;Actifs;Agriculteurs exploitants;Artisans, commercants et chefs dentreprise;Cadres et professions intellectuelles superieures;Professions intermediaires;Employes;Ouvriers;Chomeurs nayant jamais travaille
Alsace;3;1;3;3;3;3;4;3
Aquitaine;5;8;6;4;5;5;5;4
Auvergne;2;5;3;1;2;2;2;2
Basse-Normandie;2;5;3;2;2;2;3;2
Bourgogne;3;4;3;2;2;3;3;2
Bretagne;5;9;5;4;5;5;5;2
Centre;4;5;4;3;4;4;5;3
Champagne-Ardenne;2;4;2;1;2;2;3;3
Corse;1;1;1;0;0;1;0;1
Franche-Comte;2;2;2;1;2;2;3;2
Haute-Normandie;3;2;3;2;3;3;4;3
Languedoc-Roussillon;4;5;5;3;4;4;3;5
Limousin;1;3;1;1;1;1;1;1
Lorraine;4;3;3;3;4;4;5;4
Midi-Pyrenees;5;9;5;5;5;4;4;4
Nord-Pas-de-Calais;6;3;5;5;6;6;8;13
Pays de la Loire;6;9;6;4;5;5;7;3
Picardie;3;3;3;2;3;3;4;4
Poitou-Charentes;3;6;3;2;2;3;3;2
Provence-Alpes-Cote dAzur;7;4;10;7;8;8;6;9
Rhone-Alpes;10;8;11;10;11;9;10;7
Province;79;99;84;64;78;80;87;77
Ile-de-France;21;1;16;36;22;20;13;23
